,V1,V2,V3,V4,V5,V6,V7
Pop_AgeGroups,883835,Westminster,6956,28312,41370,21783,13474
Pop_AgeGroups,862000,Pueblo,6957,28732,34080,20557,18796
Pop_AgeGroups,804000,Aurora,25761,99612,134050,60468,37432
Pop_AgeGroups,937000,Hartford,8202,41588,42170,19560,12870
Pop_AgeGroups,908000,Bridgeport,10004,42647,53167,26011,15757
Pop_AgeGroups,980000,Waterbury,7619,31335,36452,19767,14077
Pop_AgeGroups,918430,Danbury,5408,21494,30761,15562,11348
Pop_AgeGroups,973000,Stamford,7502,30434,49331,23779,17805
Pop_AgeGroups,955990,Norwalk,5162,21148,30793,18877,12557
Pop_AgeGroups,950370,New Britain,4471,20593,25214,13184,9607
Pop_AgeGroups,952000,New Haven,8111,41726,48828,18536,13683
Pop_AgeGroups,1077580,Wilmington,4799,18174,25994,12903,9406
Pop_AgeGroups,1270600,Tallahassee,9338,78417,57609,25028,18071
Pop_AgeGroups,1235000,Jacksonville,59707,223740,306662,166645,110559
Pop_AgeGroups,1225175,Gainesville,4880,56318,38458,17150,12588
Pop_AgeGroups,1254200,Palm Coast,3545,18188,21548,16809,22266
Pop_AgeGroups,1217200,Deltona,5228,23170,28199,17693,13715
Pop_AgeGroups,1253000,Orlando,19117,64917,114958,42359,28063
Pop_AgeGroups,1239425,Largo,3275,15790,24366,17927,21075
Pop_AgeGroups,1212875,Clearwater,6181,22825,35722,23946,24120
Pop_AgeGroups,1263000,St. Petersburg,12417,55989,85314,57063,45248
Pop_AgeGroups,1271000,Tampa,22966,98086,134776,67379,44880
Pop_AgeGroups,1238250,Lakeland,5721,26115,30639,18867,22823
Pop_AgeGroups,1210275,Cape Coral,7816,38412,50918,38538,37995
Pop_AgeGroups,1254000,Palm Bay,6493,26932,32585,23443,18349
Pop_AgeGroups,1243975,Melbourne,4253,16563,23183,17866,17775
Pop_AgeGroups,1258715,Port St. Lucie,8661,45136,55793,35161,34027
Pop_AgeGroups,1257425,Plantation,5889,19842,32916,19462,14017
Pop_AgeGroups,1232000,Hollywood,8757,32584,51644,31816,24949
Pop_AgeGroups,1207300,Boca Raton,3107,21410,26022,20304,23121
Pop_AgeGroups,1255775,Pembroke Pines,9060,40768,56745,32503,27454
Pop_AgeGroups,1245975,Miramar,8317,37723,51965,25372,13038
Pop_AgeGroups,1216475,Davie,5318,26886,36686,20178,12475
Pop_AgeGroups,1230000,Hialeah,11352,48879,80983,48726,47583
Pop_AgeGroups,1245060,Miami Gardens,6659,31790,39208,21486,14044
Pop_AgeGroups,1245025,Miami Beach,4807,14383,38932,19123,14942
Pop_AgeGroups,1245000,Miami,27322,87765,172403,82105,73412
Pop_AgeGroups,1269700,Sunrise,6085,22407,31597,17565,14618
Pop_AgeGroups,1276600,West Palm Beach,5947,24715,36671,19722,19750
Pop_AgeGroups,1207875,Boynton Beach,4272,14973,25234,14447,15557
Pop_AgeGroups,1239550,Lauderhill,5266,19962,22759,13278,9698
Pop_AgeGroups,1224000,Fort Lauderdale,9221,34751,63140,40520,29543
Pop_AgeGroups,1216725,Deerfield Beach,4445,16974,25530,14983,17536
Pop_AgeGroups,1214400,Coral Springs,8542,37360,45098,25476,13634
Pop_AgeGroups,1258050,Pompano Beach,6116,23161,34916,22956,20393
Pop_AgeGroups,1369000,Savannah,9484,43395,49165,24490,18560
Pop_AgeGroups,1304204,Augusta,13775,55769,65406,36831,25118
Pop_AgeGroups,1301052,Albany,5248,23365,23197,13117,9965
Pop_AgeGroups,1380508,Warner Robins,5816,21411,27471,11867,7558
Pop_AgeGroups,1303440,Athens,6779,48291,39340,15846,12036
Pop_AgeGroups,1342425,Johns Creek,4426,24151,28607,18436,7777
Pop_AgeGroups,1368516,Sandy Springs,6249,23196,43033,18583,12642
Pop_AgeGroups,1367284,Roswell,6981,23304,33587,19478,10889
Pop_AgeGroups,1304000,Atlanta,26852,123745,190213,72007,52413
Pop_AgeGroups,1319000,Columbus,14793,55972,68647,34968,24267
Pop_AgeGroups,1656260,Nampa,6962,29431,29494,13000,10689
Pop_AgeGroups,1652120,Meridian,7014,25777,31994,16070,11062
Pop_AgeGroups,1608830,Boise City,12740,60484,77908,40876,28851
Pop_AgeGroups,1779293,Waukegan,6604,28455,30959,14121,7860
Pop_AgeGroups,1714000,Chicago,178480,690185,1081646,454773,317502
Pop_AgeGroups,1751622,Naperville,8656,41664,48099,31126,16886
Pop_AgeGroups,1714351,Cicero,6504,29303,30496,11418,6014
Pop_AgeGroups,1703012,Aurora,14809,64379,74156,30745,16857
Pop_AgeGroups,1723074,Elgin,9419,32385,39398,18917,12509
Pop_AgeGroups,1768003,Schaumburg,4737,14697,28714,15142,11137
Pop_AgeGroups,1757225,Palatine,4594,16307,25692,13784,8722
Pop_AgeGroups,1702154,Arlington Heights,4110,16102,24056,16983,14660
Pop_AgeGroups,1724582,Evanston,4106,23158,24175,13299,10819
Pop_AgeGroups,1707133,Bolingbrook,4799,22458,26905,14166,6220
Pop_AgeGroups,1738570,Joliet,9723,47211,53845,23113,14280
Pop_AgeGroups,1712385,Champaign,4714,34646,26757,11986,7607
Pop_AgeGroups,1765000,Rockford,10871,40429,46376,27621,23343
Pop_AgeGroups,1718823,Decatur,5071,18721,21447,14783,13483
Pop_AgeGroups,1706613,Bloomington,5361,22335,27299,14473,8958
Pop_AgeGroups,1759000,Peoria,8773,32621,37394,20136,16500
Pop_AgeGroups,1772000,Springfield,7099,29728,36544,24211,18731
Pop_AgeGroups,1825000,Fort Wayne,18839,75100,85519,47900,35092
Pop_AgeGroups,1823278,Fishers,6631,25700,34242,14020,6964
Pop_AgeGroups,1810342,Carmel,5154,24907,28549,18596,11389
Pop_AgeGroups,1836003,Indianapolis,63014,231806,303823,156425,98363
Pop_AgeGroups,1851876,Muncie,3363,27499,17751,11001,9623
Pop_AgeGroups,1822000,Evansville,7654,30111,39617,23883,18541
Pop_AgeGroups,1805860,Bloomington,2898,41916,23332,8219,7271
Pop_AgeGroups,1840788,Lafayette,5362,19578,26009,12081,9144
Pop_AgeGroups,1831000,Hammond,5494,23802,25612,14321,8598
Pop_AgeGroups,1827000,Gary,5712,20944,21459,15992,13309
Pop_AgeGroups,1871000,South Bend,7732,29930,34028,17436,12802
Pop_AgeGroups,1912000,Cedar Rapids,8972,35277,43346,24078,18657
Pop_AgeGroups,1938595,Iowa City,3636,31706,22373,8996,6704
Pop_AgeGroups,1919000,Davenport,7073,27314,33961,19415,14505
Pop_AgeGroups,1982425,Waterloo,4605,18388,21699,13017,10437
Pop_AgeGroups,1921000,Des Moines,15586,59615,76762,37773,25042
Pop_AgeGroups,1973335,Sioux City,6511,24067,25915,14939,11136
Pop_AgeGroups,2036000,Kansas City,12782,43428,50658,26966,17208
Pop_AgeGroups,2038900,Lawrence,4861,37730,29515,12506,9342
Pop_AgeGroups,2053775,Overland Park,10885,47488,64106,36951,26717
Pop_AgeGroups,2052575,Olathe,9995,39973,48186,22715,13499
Pop_AgeGroups,2071000,Topeka,9122,32830,39952,24567,20668
Pop_AgeGroups,2079000,Wichita,29779,109273,126807,72208,50987
Pop_AgeGroups,2146027,Lexington,19629,91621,109755,55661,38443
Pop_AgeGroups,2148006,Louisville,40432,157624,206825,123693,86904
Pop_AgeGroups,2241155,Lake Charles,5214,20715,23867,13965,11433
Pop_AgeGroups,2240735,Lafayette,7068,36323,41633,24903,16549
Pop_AgeGroups,2205000,Baton Rouge,15035,75785,69809,37404,29516
Pop_AgeGroups,2239475,Kenner,4063,17267,21907,13676,10340
Pop_AgeGroups,2255000,New Orleans,23322,93290,145140,76421,50009
Pop_AgeGroups,2270000,Shreveport,14390,52945,64317,35994,28571
Pop_AgeGroups,2360545,Portland,3555,14904,26632,12492,9132
Pop_AgeGroups,2404000,Baltimore,40779,153782,227711,118259,79265
Pop_AgeGroups,2537000,Lowell,7662,32433,39435,19744,11690
Pop_AgeGroups,2537490,Lynn,7305,25243,32984,16877,10660
Pop_AgeGroups,2534550,Lawrence,6038,24990,28154,12488,7827
Pop_AgeGroups,2562535,Somerville,3291,16988,41409,10687,7608
Pop_AgeGroups,2511000,Cambridge,4496,31907,48885,13092,12513
Pop_AgeGroups,2567000,Springfield,10303,49633,48958,27206,18513
Pop_AgeGroups,2582000,Worcester,10612,53845,63316,33191,23779
Pop_AgeGroups,2555745,Quincy,5353,17583,37275,19303,14310
Pop_AgeGroups,2509000,Brockton,6787,26614,31551,18170,12039
Pop_AgeGroups,2507000,Boston,34878,177167,279814,103705,73594
Pop_AgeGroups,2545560,Newton,4293,26498,25355,17459,14874
Pop_AgeGroups,2545000,New Bedford,5896,24209,32495,18159,14366
Pop_AgeGroups,2523000,Fall River,5803,21377,29976,17500,14602
Pop_AgeGroups,2684000,Warren,8409,33859,44033,27809,21037
Pop_AgeGroups,2676460,Sterling Heights,7043,31597,42837,27481,23038
Pop_AgeGroups,2629000,Flint,7431,28386,30118,19857,12018
Pop_AgeGroups,2649000,Livonia,4502,20450,27740,23712,18304
Pop_AgeGroups,2627440,Farmington Hills,4013,17670,25916,18223,15413
Pop_AgeGroups,2669035,Rochester Hills,3812,18371,23082,16018,12175
Pop_AgeGroups,2622000,Detroit,49879,196794,216798,127458,88936
Pop_AgeGroups,2680700,Troy,4048,20687,26565,18496,13540
Pop_AgeGroups,2674900,Southfield,3508,17254,23121,15420,13925
Pop_AgeGroups,2603000,Ann Arbor,4846,48741,36130,16059,13527
Pop_AgeGroups,2686000,Westland,4737,18794,27896,17350,13395
Pop_AgeGroups,2621000,Dearborn,7826,30609,29555,15659,11646
Pop_AgeGroups,2646000,Lansing,8214,33555,41065,19602,12786
Pop_AgeGroups,2688940,Wyoming,5961,20590,26990,13972,7611
Pop_AgeGroups,2634000,Grand Rapids,14446,57813,70192,30520,22384
Pop_AgeGroups,2642160,Kalamazoo,4076,31829,21896,10459,7573
Pop_AgeGroups,2743000,Minneapolis,27689,110248,171231,64566,37718
Pop_AgeGroups,2707966,Brooklyn Park,6303,22951,27843,14334,8031
Pop_AgeGroups,2751730,Plymouth,5302,16822,25898,17047,11189
Pop_AgeGroups,2706616,Bloomington,5072,17645,28363,18243,16094
Pop_AgeGroups,2754880,Rochester,8228,28651,39587,20274,15943
Pop_AgeGroups,2717000,Duluth,4496,28379,24549,15664,12978
Pop_AgeGroups,2758000,St. Paul,22855,89655,108964,50071,29275
Pop_AgeGroups,2829700,Gulfport,5495,19701,23874,12603,9645
Pop_AgeGroups,2836000,Jackson,12364,52478,55592,30148,19811
Pop_AgeGroups,2965000,St. Louis,20582,74144,120728,61284,38129
Pop_AgeGroups,2954074,O'Fallon,5959,24110,30519,15385,9273
Pop_AgeGroups,2970000,Springfield,9721,52037,51997,27384,24646
Pop_AgeGroups,2915670,Columbia,7053,46017,37018,16944,11588
Pop_AgeGroups,2941348,Lee's Summit,6689,25260,30530,19535,13256
Pop_AgeGroups,2935000,Independence,7204,28855,35409,25320,20581
Pop_AgeGroups,2964550,St. Joseph,5283,20343,25636,14477,11080
Pop_AgeGroups,2938000,Kansas City,33210,121635,174430,88480,59219
Pop_AgeGroups,3050200,Missoula,3378,22446,24696,11418,8909
Pop_AgeGroups,3006550,Billings,7136,27716,36165,20443,17622
Pop_AgeGroups,3128000,Lincoln,18712,88613,89576,45793,34621
Pop_AgeGroups,3137000,Omaha,33800,128184,159151,85143,56803
Pop_AgeGroups,3251800,North Las Vegas,18271,74058,84468,34941,22651
Pop_AgeGroups,3240000,Las Vegas,39912,162650,216532,114953,87615
Pop_AgeGroups,3231900,Henderson,14395,66104,94053,57184,53081
Pop_AgeGroups,3268400,Sparks,5954,24603,33036,18947,14246
Pop_AgeGroups,3260600,Reno,15411,63303,84021,43921,33076
Pop_AgeGroups,3350260,Nashua,4877,20991,29528,19385,12861
Pop_AgeGroups,3345140,Manchester,6238,27183,41583,20914,14683
Pop_AgeGroups,3474630,Union City,4379,17490,28065,12541,7340
Pop_AgeGroups,3456550,Passaic,6941,23606,24538,10058,5914
Pop_AgeGroups,3451000,Newark,21115,79874,107520,46953,27341
Pop_AgeGroups,3413690,Clifton,5347,21213,29514,17415,12718
Pop_AgeGroups,3457000,Paterson,11483,43988,51687,25041,15691
Pop_AgeGroups,3436000,Jersey City,20480,58708,118929,40985,26830
Pop_AgeGroups,3421000,Elizabeth,9739,37236,47962,21402,13024
Pop_AgeGroups,3474000,Trenton,6263,23919,31785,15000,7900
Pop_AgeGroups,3410000,Camden,6757,25239,25593,11062,6899
Pop_AgeGroups,3570500,Santa Fe,4012,18876,26076,17330,16686
Pop_AgeGroups,3539380,Las Cruces,6839,33006,30540,15633,14996
Pop_AgeGroups,3563460,Rio Rancho,5635,25372,31099,18302,12909
Pop_AgeGroups,3502000,Albuquerque,34807,146222,193090,103751,78848
Pop_AgeGroups,3665508,Schenectady,3779,17705,22552,12858,8811
Pop_AgeGroups,3601000,Albany,5442,33144,31865,15625,12422
Pop_AgeGroups,3684000,Yonkers,12488,50130,68256,37197,32928
Pop_AgeGroups,3651000,New York,560358,2029766,3259781,1541899,1168268
Pop_AgeGroups,3650617,New Rochelle,4400,21575,24943,15808,13151
Pop_AgeGroups,3649121,Mount Vernon,4831,16033,23565,13870,10372
Pop_AgeGroups,3673000,Syracuse,9602,48240,45119,24132,17312
Pop_AgeGroups,3663000,Rochester,13964,62421,75466,36111,21501
Pop_AgeGroups,3611000,Buffalo,17641,74471,88800,47111,31551
Pop_AgeGroups,3734200,Jacksonville,6390,35839,20790,6122,4520
