"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Pop_AgeGroups","3421000","Elizabeth","9739","37236","47962","21402","13024","4563","4623","5302","4690","5021","3903","9739","9290","9271","8957","9718","10557","9447","10120","8365","9473","7890","7923","5589","4517","3110","5397"
"Pop_AgeGroups","3474000","Trenton","6263","23919","31785","15000","7900","2554","3035","3073","3336","3154","2673","6263","6113","5457","5849","6500","6714","6939","6666","6158","5308","6089","4404","4507","3070","1824","3006"
"Pop_AgeGroups","3410000","Camden","6757","25239","25593","11062","6899","2562","3355","3213","2830","3123","2126","6757","6937","6662","5421","6219","5891","5408","5523","4440","4331","4130","3980","2952","2524","1885","2490"
"Pop_AgeGroups","3570500","Santa Fe","4012","18876","26076","17330","16686","2436","2201","2439","2895","2448","2601","4012","4955","4580","4747","4594","5079","5621","5082","5012","5282","5440","5957","5933","6029","4147","6510"
"Pop_AgeGroups","3539380","Las Cruces","6839","33006","30540","15633","14996","3638","5571","3643","3103","2883","2655","6839","6433","7027","7385","12161","7532","6849","6090","4759","5310","5032","5371","5230","4650","3667","6679"
"Pop_AgeGroups","3563460","Rio Rancho","5635","25372","31099","18302","12909","3310","2553","2834","3428","3326","3351","5635","6677","6889","6516","5290","5781","6365","6018","6904","6031","6313","6514","5475","4603","3402","4904"
"Pop_AgeGroups","3502000","Albuquerque","34807","146222","193090","103751","78848","16673","19806","22166","21489","18815","17477","34807","35701","36939","34259","39323","44863","43028","37882","33964","33353","35825","35585","32341","26586","18615","33647"
"Pop_AgeGroups","3665508","Schenectady","3779","17705","22552","12858","8811","2316","2456","2627","2730","2324","1755","3779","3801","3553","4773","5578","4961","5093","4377","3772","4349","4506","4427","3925","2879","1685","4247"
"Pop_AgeGroups","3601000","Albany","5442","33144","31865","15625","12422","4957","7994","4311","4063","2848","2518","5442","4649","4405","8814","15276","8722","7885","5427","4910","4921","5502","5401","4722","3669","2965","5788"
"Pop_AgeGroups","3684000","Yonkers","12488","50130","68256","37197","32928","6832","6711","7207","6882","6972","6988","12488","11689","11893","13143","13405","13889","13732","13638","13045","13952","14253","12337","10607","10165","8079","14684"
"Pop_AgeGroups","3651000","New York","560358","2029766","3259781","1541899","1168268","233646","310915","413356","372379","317872","288621","560358","486318","466865","470754","605829","799350","728269","616797","560621","554744","555927","517646","468326","378022","272617","517629"
"Pop_AgeGroups","3650617","New Rochelle","4400","21575","24943","15808","13151","2808","3354","2133","2485","2559","2250","4400","4566","4690","5965","6354","4365","4948","5263","4894","5473","5929","5249","4630","3760","2583","6808"
"Pop_AgeGroups","3649121","Mount Vernon","4831","16033","23565","13870","10372","1840","2538","2914","2430","2556","2439","4831","3968","3386","3776","4903","5762","4628","4169","4532","4474","4756","5297","3817","3117","2516","4739"
"Pop_AgeGroups","3673000","Syracuse","9602","48240","45119","24132","17312","8702","8260","6939","5072","4198","3381","9602","8677","8195","15471","15897","13004","9960","7976","6806","7373","8556","8049","7527","5675","3820","7817"
"Pop_AgeGroups","3663000","Rochester","13964","62421","75466","36111","21501","6993","10273","11398","8655","6691","6040","13964","13988","13447","14675","20311","22544","16573","12981","11173","12195","13145","12243","10723","7413","5602","8486"
"Pop_AgeGroups","3611000","Buffalo","17641","74471","88800","47111","31551","9175","12672","12539","10286","7931","7031","17641","16240","15582","18294","24355","25486","20089","14924","13776","14525","15627","16991","14493","10355","7312","13884"
"Pop_AgeGroups","3734200","Jacksonville","6390","35839","20790","6122","4520","1842","4379","3078","1810","1505","1443","6390","3982","3720","7335","20802","8125","4439","3006","3077","2143","2238","2346","1538","1507","756","2257"
"Pop_AgeGroups","3774440","Wilmington","5265","34476","36313","21310","17897","4661","7976","4626","3950","3369","3528","5265","5907","5642","8277","14650","9116","7293","6692","6990","6222","7246","7559","6505","6115","4215","7567"
